Step by step, heart to heart, left, right, left, we all fall down
Like toy soldiers, bit by bit, torn apart, we never win
But the battle wages on for toy soldiers
It's my way or no way, I ain't gonna live forever
I just wanna live my life, I'm a soldier
But I'm fighting for my life, I'm a soldier
I'm a fighter, I'm a writer, I'm a poet, I'm a prophet
I'm a leader, I'm a teacher, I'm a preacher, I'm a mentor
I'm a student, I'm a rebel, I'm a ruler, I'm a legend
I'm a king, I'm a boss, I'm a man, I'm a warrior
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I'm a soldier, I'm a soldier, I'm a soldier, I'm a soldier
I
