I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak, I'm a freak, I'm a freak 
I'm a freak
