Prinz Pi, Daydream Nation
Yo, yo, yo, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
I'm the one, I'm the one, I'm the one
