I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk

I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk

I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk

I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
