Fettes Brot:  
"Massive Attack, Home Of The Whale"  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  

Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der Präsident von Amerika, ich bin der Papst von Rom  
Ich bin der König von Deutschland, ich bin der Kaiser von China  
Ich bin der
