Heart under, synapse, I'm a shadow  
Heart under, synapse, I'm a shadow  
Heart under, synapse, I'm a shadow  
Heart under, synapse, I'm a shadow  

Heart under, synapse, I'm a shadow  
Heart under, synapse, I'm a shadow  
Heart under, synapse, I'm a shadow  
Heart under, synapse, I'm a shadow  

Heart under, synapse, I'm a shadow  
Heart under, synapse, I'm a shadow  
Heart under, synapse, I'm a shadow  
Heart under, synapse, I'm a shadow  

Heart under, synapse, I'm a shadow  
Heart under, synapse, I'm a shadow  
Heart under, synapse, I'm a shadow  
Heart under, synapse, I'm a shadow
