I'm taking over my body,
Back in control, no more shotty,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
I'm a car at the end,
I'm the one in the street,
