Yeah, yeah, yeah
Marvelous, marvelous, marvelous
Yeah, yeah, yeah
Marvelous, marvelous, marvelous
Yeah, yeah, yeah
Marvelous, marvelous, marvelous
Yeah, yeah, yeah
Marvelous, marvelous, marvelous

I'm marvelous, baby, I'm marvelous
I'm marvelous, baby, I'm marvelous
I'm marvelous, baby, I'm marvelous
I'm marvelous, baby, I'm marvelous

I'm marvelous, baby, I'm marvelous
I'm marvelous, baby, I'm marvelous
I'm marvelous, baby, I'm marvelous
I'm marvelous, baby, I'm marvelous

Yeah, yeah, yeah
Marvelous, marvelous, marvelous
Yeah, yeah, yeah
Marvelous, marvelous, marvelous
Yeah, yeah, yeah
Marvelous, marvelous, marvelous
Yeah, yeah, yeah
Marvelous, marvelous, marvelous

I'm marvelous, baby, I'm marvelous
I'm marvelous, baby, I'm marvelous
I'm marvelous, baby, I'm marvelous
I'm marvelous, baby, I'm marvelous

I'm marvelous, baby, I'm marvelous
I'm marvelous, baby, I'm marvelous
I'm marvelous, baby, I'm marvelous
I'm marvelous, baby, I'm marvelous
