Fremd, so fremd, diese eisige Wirklichkeit
Kalt, so kalt, diese grausame Ewigkeit
Leben, das Leben, wir spüren es kaum
Sterben, wir sterben, wir sterben zu früh

Fremd, so fremd, diese eisige Wirklichkeit
Kalt, so kalt, diese grausame Ewigkeit
Leben, das Leben, wir spüren es kaum
Sterben, wir sterben, wir sterben zu früh

Fremd, so fremd, diese eisige Wirklichkeit
Kalt, so kalt, diese grausame Ewigkeit
Leben, das Leben, wir spüren es kaum
Sterben, wir sterben, wir sterben zu früh

Fremd, so fremd, diese eisige Wirklichkeit
Kalt, so kalt, diese grausame Ewigkeit
Leben, das Leben, wir spüren es kaum
Sterben, wir sterben, wir sterben zu früh
