"I'm a jerk, I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk, I'm a jerk

You're a jerk, you're a jerk, you're a jerk, you're a jerk
You're a jerk, you're a jerk, you're a jerk, you're a jerk
You're a jerk, you're a jerk, you're a jerk, you're a jerk
You're a jerk, you're a jerk, you're a jerk, you're a jerk

We're all jerks, we're all jerks, we're all jerks, we're all jerks
We're all jerks, we're all jerks, we're all jerks, we're all jerks
We're all jerks, we're all jerks, we're all jerks, we're all jerks
We're all jerks, we're all jerks, we're all jerks, we're all jerks

Crazy, crazy, crazy, crazy
Crazy, crazy, crazy, crazy
Crazy, crazy, crazy, crazy
Crazy, crazy, crazy, crazy"
