Hier im Zelt, hier im Zelt!
Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!

Wir haben getanzt, wir haben getanzt
Wir haben getanzt, wir haben getanzt

Ich bin ein Punk, ich bin ein Punk!
Ich bin ein Punk, ich bin ein Punk!
