You're a jerk, you rule!!
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
You think it's funny now?
