Wir sind die Ratten, die an euren Tischen fressen
Wir sind die Schatten, die an euren Häusern kleben
Wir sind die Fremden, die an euren Türen kratzen
Wir sind die Fratzen, die an euren Fenstern sitzen

Wir sind die Leute, die in euren Straßen leben
Wir sind die Leute, die in euren Straßen sterben
Wir sind die Leute, die in euren Straßen lieben
Wir sind die Leute, die in euren Straßen hassen

Wir sind die Leute, die in euren Straßen atmen
Wir sind die Leute, die in euren Straßen träumen
Wir sind die Leute, die in euren Straßen weinen
Wir sind die Leute, die in euren Straßen lachen

Wir sind die Leute, die in euren Straßen beten
Wir sind die Leute, die in euren Straßen fluchen
Wir sind die Leute, die in euren Straßen hoffen
Wir sind die Leute, die in euren Straßen schweigen

Wir sind die Leute, die in euren Straßen wohnen
Wir sind die Leute, die in euren Straßen wachen
Wir sind die Leute, die in euren Straßen schlafen
Wir sind die Leute, die in euren Straßen träumen

Wir sind die Leute, die in euren Straßen leben
Wir sind die Leute, die in euren Straßen leben
Wir sind die Leute, die in euren Straßen leben
Wir sind die Leute, die in euren Straßen leben
