D'accord, d'accord, d'accord
Schnaiserkitt, Schnaiserkitt, Schnaiserkitt
Fjørt, Fjørt, Fjørt
D'accord, Schnaiserkitt, Fjørt
D'accord, Schnaiserkitt, Fjørt
D'accord, Schnaiserkitt, Fjørt

D'accord, d'accord, d'accord
Schnaiserkitt, Schnaiserkitt, Schnaiserkitt
Fjørt, Fjørt, Fjørt
D'accord, Schnaiserkitt, Fjørt
D'accord, Schnaiserkitt, Fjørt
D'accord, Schnaiserkitt, Fjørt

Fjørt, Fjørt, Fjørt
D'accord, Schnaiserkitt, Fjørt
D'accord, Schnaiserkitt, Fjørt
D'accord, Schnaiserkitt, Fjørt

D'accord, d'accord, d'accord
Schnaiserkitt, Schnaiserkitt, Schnaiserkitt
Fjørt, Fjørt, Fjørt
D'accord, Schnaiserkitt, Fjørt
D'accord, Schnaiserkitt, Fjørt
D'accord, Schnaiserkitt, Fjørt
