I glued my balls to my butthole again
I glued my balls to my butthole again
I used the strongest glue that I could find
Now I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat, oh my God
I'm stuck to the toilet seat
