I'm not your friend, I'm not your brother
I'm not your son, I'm not your lover
I'm not your comrade, I'm not your mate
I'm not your partner, I'm not your date

I'm not your father, I'm not your guide
I'm not your teacher, I'm not your bride
I'm not your master, I'm not your slave
I'm not your healer, I'm not your grave

I'm not your mirror, I'm not your clown
I'm not your king, I'm not your crown
I'm not your hero, I'm not your saint
I'm not your picture, I'm not your paint

I'm not your dream, I'm not your wish
I'm not your dish, I'm not your fish
I'm not your star, I'm not your sun
I'm not your gun, I'm not your fun

I'm not your light, I'm not your dark
I'm not your bark, I'm not your park
I'm not your voice, I'm not your song
I'm not your right, I'm not your wrong

I'm not your love, I'm not your hate
I'm not your fate, I'm not your gate
I'm not your peace, I'm not your war
I'm not your shore, I'm not your oar

I'm not your joy, I'm not your sorrow
I'm not your borrow, I'm not your tomorrow
I'm not your past, I'm not your future
I'm not your suture, I'm not your nature

I'm not your life, I'm not your death
I'm not your breath, I'm not your wealth
I'm not your blood, I'm not your bone
I'm not your stone, I'm not your throne

I'm not your fire, I'm not your rain
I'm not your gain, I'm not your pain
I'm not your earth, I'm not your sky
I'm not your high, I'm not your bye

I'm not your alienation.
