Even though I know the world is falling
Even though I know the world is falling
It's falling down, I'll keep on
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith, I'll keep on faith
I'll keep on, I'll keep on faith
