Through the loop, through the loop, through the loop
I'm spinning round, I'm spinning round, I'm spinning round
Through the loop, through the loop, through the loop
I'm spinning round, I'm spinning round, I'm spinning round

Through the loop, through the loop, through the loop
I'm spinning round, I'm spinning round, I'm spinning round
Through the loop, through the loop, through the loop
I'm spinning round, I'm spinning round, I'm spinning round

Through the loop, through the loop, through the loop
I'm spinning round, I'm spinning round, I'm spinning round
Through the loop, through the loop, through the loop
I'm spinning round, I'm spinning round, I'm spinning round

Through the loop, through the loop, through the loop
I'm spinning round, I'm spinning round, I'm spinning round
Through the loop, through the loop, through the loop
I'm spinning round, I'm spinning round, I'm spinning round
