I can't stray from the path I'm on
I'm a jerk, I'm a fool, I'm a clown
I'm a liar, I'm a cheat, I'm a punk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a jerk, I'm a jerk
I'm a jerk, I'm a
