Curve, in Schwarz,  
Falling free,  
In the dark,  
I'm set me free.  

I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I'm falling,  
I
