I'm fading now, I'm fading now, I'm fading now, I'm fading now
I'm fading now, I'm fading now, I'm fading now, I'm fading now
I'm fading now, I'm fading now, I'm fading now, I'm fading now
I'm fading now, I'm fading now, I'm fading now, I'm fading now

I'm fading now, I'm fading now, I'm fading now, I'm fading now
I'm fading now, I'm fading now, I'm fading now, I'm fading now
I'm fading now, I'm fading now, I'm fading now, I'm fading now
I'm fading now, I'm fading now, I'm fading now, I'm fading now

Scenes of fables, red line, red line, red line
Scenes of fables, red line, red line, red line
Scenes of fables, red line, red line, red line
Scenes of fables, red line, red line, red line

I'm fading now, I'm fading now, I'm fading now, I'm fading now
I'm fading now, I'm fading now, I'm fading now, I'm fading now
I'm fading now, I'm fading now, I'm fading now, I'm fading now
I'm fading now, I'm fading now, I'm fading now, I'm fading now

Scenes of fables, red line, red line, red line
Scenes of fables, red line, red line, red line
Scenes of fables, red line, red line, red line
Scenes of fables, red line, red line, red line
