She's my witch, my witch, my witch
She's my witch, my witch, my witch
She's my witch, my witch, my witch
She's my witch, my witch, my witch

She's my witch, my witch, my witch
She's my witch, my witch, my witch
She's my witch, my witch, my witch
She's my witch, my witch, my witch

She's my witch, my witch, my witch
She's my witch, my witch, my witch
She's my witch, my witch, my witch
She's my witch, my witch, my witch

She's my witch, my witch, my witch
She's my witch, my witch, my witch
She's my witch, my witch, my witch
She's my witch, my witch, my witch
