Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain & vine
I'm just a girl, I'm just a girl, I'm just a girl
Oleander, joyride, fountain &
