Babylon, Babylon, Babylon, Babylon
Babylon, Babylon, Babylon, Babylon
Babylon, Babylon, Babylon, Babylon
Babylon, Babylon, Babylon, Babylon

Nobody, nobody, nobody, nobody
Nobody, nobody, nobody, nobody
Nobody, nobody, nobody, nobody
Nobody, nobody, nobody, nobody

Babylon, Babylon, Babylon, Babylon
Babylon, Babylon, Babylon, Babylon
Babylon, Babylon, Babylon, Babylon
Babylon, Babylon, Babylon, Babylon

Nobody, nobody, nobody, nobody
Nobody, nobody, nobody, nobody
Nobody, nobody, nobody, nobody
Nobody, nobody, nobody, nobody
