Yeht mae, eam they,  
Aurora scenes,  
In the dark, in the light,  
In the night, in the day,  
In the silence, in the sound,  
In the dreams, in the truth,  
In the past, in the future,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,  
In the here, in the there,  
In the now, in the then,
