I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild bill, I'm a wild bill
I'm a wild bill, I'm a wild bill, I'm a wild
