I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dreamer, I'm a dreamer
I'm a dreamer, I'm a dreamer, I'm a dream
