I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth
I'm the truth, I'm the truth, I'm the truth

I'm the truth
