idx,text,mode
1,"Akira Yamaoka, Time's Arrow",switch_album
2,"Alan Walker, Projects In The Jungle, Takin' My Life",switch_author
3,"All The Damn Vampires, All The Damn Vampires & Yota, Tame You",real
4,"Anthony Rother, Simulationszeitalter, Fall Down, Never Get Back Up Again",switch_title
5,"Anti-Flag, Die For The Government, Drink Drank Punk",real
6,"Arcane Roots, Final Solution - Cloud 149",switch_author
7,"As I Lay Dying, Awakened, Whispering Silence",real
8,"As I Lay Dying, Frail Words Collapse, Song 10",real
9,"ASP, Fremd, Eisige Wirklichkeit",real
10,"Ava Monroe, Endless Dreams, Silver Motors",madeup_all
11,"Ava Rossi, Silver Fables, Silent Windows",madeup_all
12,"Ava Valen, Scenes of Lights, White Room",madeup_all
13,"Beginner, Nightmare Revisited, This Is Halloween",switch_author
14,"Billy Talent, Billy Talent II, Worker Bees",real
15,"Bit Pie, Atlas, Blue and the Grey",switch_author
16,"Black Label Society, Stronger Than Death, Windows #43",switch_title
17,"Blondie, Body And Soul, The Hardest Part",switch_album
18,"Bob Seger, The Fodder Song, Words (Of The Dying)",switch_author
19,"Boy Harsher, Careful, The Terminal",switch_title
20,"Braindead Sound Machine, Come Down From the Hills and Make My Baby, Useless",switch_title
21,"Brand New, Leaked Demos 2006, Interlude",switch_title
22,"Brand New, The Devil And God Are Raging Inside Me, Jesus Christ",real
23,"Breakdown of Sanity, Perception, Deliverance (feat",real
24,"Breakdown of Sanity, The Last Sunset, Break",real
25,"Breaking Benjamin, Ghost Empire, Who We Are",switch_author
26,"Breaking Benjamin, We Are Not Alone, Sooner Or Later",real
27,"Broilers, Noir, Alienation",switch_title
28,"Brother Ali, The Undisputed Truth, Man in the Box",switch_title
29,"Cage, Mayhem, I Never Knew You",switch_album
30,"Calamari Safari, Poultrygeist - Night of the Chicken Dead, Interlude",switch_title
31,"Caliban, I Am Nemesis, Edge Of Black (Remix)",real
32,"Caliban, The Undying Darkness, My Fiction Beauty",real
33,"Callejon, Man spricht Deutsch, Schwule Mädchen",real
34,"Calvin Scott, Herefore, Thing About Me",switch_album
35,"Candlebox, Candlebox, Blue Light",switch_title
36,"Candlebox, Candlebox, Velvet Waves",switch_title
37,"Casper, Ein bisschen Frieden, Im Ascheregen",switch_album
38,"Concrete Blonde, Gran Turismo, My Favourite Game",switch_author
39,"Crimson Patterns Project, Lights of Motors, Green Sky",madeup_all
40,"Crimson Scenes Trio, Paper Skylines",madeup_all
41,"Crying Vessel, Tigermouth, Selfless",switch_album
42,"Crystal Lights Orchestra, Midnight Fragments, Neon Scenes",madeup_all
43,"Curve, Gift, Sacred Trickster",switch_title
44,"Curve, Horror Head, Rooms #96",switch_title
45,"Curve, In Schwarz, Falling Free",switch_album
46,"Daft Punk, Get Lucky, Get Lucky - Radio Edit",real
47,"Dark Tranquillity, Construct, For Broken Words",real
48,"Dark Tranquillity, Fiction, Misery's Crown",real
49,"Davey Pubic, Time to Go Home, Drone",switch_author
50,"Defeater, Letters Home, No Relief",real
51,"Deichkind, Bitte ziehen sie durch, Careless",switch_title
52,"Diana Gitallog, Popular Problems",switch_author
53,"Diana Gitallog, Été Rouge, Été Rouge (feat",real
54,"Die Goldenen Zitronen, Gute Menschen, Gute Menschen",switch_author
55,"Digital Patterns Quartet, Lights of Shadows",madeup_all
56,"Digital Shadows Trio, Aurora Dreams",madeup_all
57,"Dixie Normous, Fight With Tools, You Need Eight Inches (To Take This Ride)",switch_album
58,"Donots, “V” Is for Vagina, Dann ohne mich",switch_album
59,"Dope, Group Therapy, Galaxy",switch_title
60,"Drake, Clone Your Lover, God Bless the Models",switch_author
61,"Dream Theater, Bout It, Streets Are Watching",switch_author
62,"Electric Dreams Orchestra, Paper Waves",madeup_all
63,"Electric Fragments Orchestra, Wandering Skylines, Prelude",madeup_all
64,"Electric Six, Switzerland, Slices of You",real
65,"Emerald Waves Orchestra, Emerald Parade, Green River",madeup_all
66,"Endless Scenes Project, Aurora Lights, Aurora Parade",madeup_all
67,"Enigma, Found In Far Away Places, Identity",switch_author
68,"Enzo Hayes, Silent Stories, Epilogue",madeup_all
69,"Enzo Novak, Midnight Windows, Green Sky",madeup_all
70,"Fading Echoes Collective, Endless Gardens, Skylines #74",madeup_all
71,"Fading Fables Project, Crimson Scenes, Black Line",madeup_all
72,"Fading Horizons Trio, Velvet Patterns, Green Light",madeup_all
73,"Fading Scenes Project, Scenes of Fables, Red Line",madeup_all
74,"Feine Sahne Fischfilet, Sinfonie Des Wahnsinns, Ich glaube dir",switch_album
75,"Fettes Brot, Massive Attack, Home Of The Whale",switch_author
76,"Fever Rooms Orchestra, Dreams of Lights, Fragments #32",madeup_all
77,"Fjørt, D'accord, Schnaiserkitt",real
78,"Flobots, Vision Thing, There's A War Going On For Your Mind",switch_album
79,"Golden Letters Project, Signals of Signals",madeup_all
80,"Golden Rooms Trio, Paper Skylines, Lights #66",madeup_all
81,"Grossstadtgeflüster, Wenn die Nacht am tiefsten, Halt dich an deiner Liebe fest",switch_author
82,"Grotus, Mass, Wiild Bill",real
83,"Hednoize, 22-09-12 Off, Crushed",switch_author
84,"Huddle of Crudd, I Glued My Balls to My Butthole Again, I Glued My Balls to My Butthole Again",switch_author
85,"Hundredth, Let Go, Restless",real
86,"Hundredth, When Will We Surrender, Willows",real
87,"Hurts, The Ultimate Monty Python Rip Off, Always Look On The Bright Side Of Life",switch_author
88,"INXS, Kick, Believe",switch_title
89,"Itchy Poopzkid, Jen, Jen",switch_author
90,"Jerkstore, Scorpio Rising, Hands Around My Throat",switch_author
91,"Jon Lajoie, You Want Some of This, I Don't Understand",real
92,"Just Mustard, Heart Under, Synapse",switch_title
93,"Kai Fischer, Lights of Waves",madeup_all
94,"Kai Rossi, Crimson Horizons, White Sky",madeup_all
95,"Kav, Dirty Rejects (feat. Zombie Boy), Hope Leaves",switch_title
96,"Kav, Dirty Rejects (feat. Zombie Boy), White Room",switch_title
97,"Kelli Ali, Equal Vision Records Presents - New Sounds 2011, Lucifer Rising",switch_album
98,"King Missile, Maverick, Detachable Penis",switch_album
99,"Kip Tyler, Metal Gear Solid 3 - Snake Eater Original Soundtrack, She's My Witch",switch_album
100,"KIZ, Hurra die Welt geht unter, Eyes",switch_title
101,"Lena Moreau, Paper Scenes, Intro",madeup_all
102,"Lera Lynn, The Avenues, Wandering Letters",switch_title
103,"Levi Valen, Silver Motors, Intro",madeup_all
104,"Linkin Park, Hybrid Theory, White Room",switch_title
105,"Lords of Acid, Dead Or Alive, The Real Thing",switch_album
106,"Lunar Aurora, Hoagascht, Patterns #84",switch_title
107,"Mareux, BLOODY STREAM, The Perfect Girl",switch_album
108,"Marilyn Manson, The Golden Age Of Grotesque, Pulmonary Archery",switch_title
109,"Marty Robbins, Hoagascht, Nachteule",switch_author
110,"Massive Attack, Schwarzmaler, Insel Freiheit",switch_author
111,"MC1R, Believe, Force Of Inertia (I'd Be Disappointed If I Cared Enough Remix By Fix8Sed8)",switch_album
112,"Midnight Rooms Club, Waves of Stories, Crystal Echoes",madeup_all
113,"Milo Fischer, Electric Stories",madeup_all
114,"Mina Sato, Hidden Echoes",madeup_all
115,"Ministry, Psalm 69, Black Sky",switch_title
116,"Mint Royale, Dark Passion Play, The Poet And The Pendulum",switch_author
117,"Mr Little Jeans, Ashes Of The Wake, Hourglass",switch_author
118,"Mxmtoon, No Name Face, Hanging by a Moment",switch_author
119,"My Life With the Thrill Kill Kult, Buy Beg or Steal",switch_author
120,"Neon Horizons Trio, Emerald Dreams",madeup_all
121,"Neon Windows Collective, Hollow Windows, Red River",madeup_all
122,"New Model Army, Impurity, Lurhstaap",real
123,"Nine Inch Nails, Once More with Feeling - Singles 1996-2004, Twenty Years",switch_author
124,"Nitzer Ebb, Ebbhead, Ascend",real
125,"Noah Fischer, Skylines of Fables",madeup_all
126,"Noah Khan, Scenes of Fables, Intro",madeup_all
127,"Of Mice & Men, Of Mice & Men, Black Light",switch_title
128,"OK KID, OK KID, Am Ende",real
129,"OK KID, OK KID, Leave Them All Behind",switch_title
130,"Oleander, Joyride, Fountain & Vine",real
131,"Opeth, Ghost Reveries, Atonement",real
132,"Pantera, I Am The Night, Crimson Shadows",switch_title
133,"Parcels, There is a Hell Believe Me I've Seen It. There is a Heaven Let's Keep it a Secret, Myenemy",switch_album
134,"Pendulum, Hold Your Colour, Sounds Of Life (Ft",real
135,"Pendulum, Hold Your Colour, Through The Loop",real
136,"Placebo, No. 4, Special Needs",switch_album
137,"Plastic Noise Experience, Sunnypsyop, Memory Flow (V2",switch_album
138,"Pleasure Symbols, Closer and Closer Apart, Image Reflected",real
139,"Prinz Pi, Daydream Nation",switch_author
140,"Puscifer, Kunstraub, Fake Affront",switch_album
141,"Ra, From One, Rectifier",real
142,"Ramones, Death Magic, Stonefist",switch_author
143,"Rantanplan, Der Weg einer Freiheit, Antifa Fanclub",switch_album
144,"Regurgitator, Shadow Zone, The Song Formerly Known As",switch_album
145,"Remy Fischer, Hollow Motors, Skylines #39",madeup_all
146,"Remy Ishida, Digital Shadows",madeup_all
147,"Revolting Cocks, Sex-O Olympic-O, Clipped",switch_title
148,"Right Said Fred, D.W.I.S, I'm Too Sexy",switch_album
149,"Rise Against, ...And Justice For All, Voices Off Camera",switch_album
150,"Röyksopp, Papillon, What Else Is There",switch_album
151,"SamHaiNe presents, Rag Doll Blues, Scissors",switch_author
152,"Sandra, Burial Ground, In the Heat of the Night",switch_album
153,"Seahaven, TRUNK THERAPY, Black & White",switch_album
154,"Silent Patterns Project, Electric Shadows, Black Light",madeup_all
155,"Silver Lights Club, Wandering Rooms, Signals #14",madeup_all
156,"Sister Machine Gun, Metropolis, Zeitmaschinen aus Müll",switch_title
157,"Ska-P, 99%, Radio Falacia",real
158,"Skindred, Babylon, Nobody",real
159,"Skinny Puppy, The Process, Given In Death",switch_title
160,"Slipknot, Alannah Myles, Goodbye",switch_album
161,"Stabbing Westward, Darkest Days, Vice Grip",switch_title
162,"Stephen Lynch, Burial Ground, Waiting",switch_album
163,"Stereo MCs, One of Us Is the Killer",switch_album
164,"Stick Figure, Burial Ground, Waiting For You",switch_title
